top - 15:03:41 up  5:33,  1 user,  load average: 0.11, 0.39, 1.30
Tasks: 280 total,   1 running, 277 sleeping,   0 stopped,   2 zombie
%Cpu(s):  4.3 us,  1.3 sy,  0.1 ni, 89.2 id,  5.2 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem :  3916032 total,  1384392 free,  1564868 used,   966772 buff/cache
KiB Swap:  4061180 total,  3484468 free,   576712 used.  1894540 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 2056 lightdm   20   0  289004   2216   2216 S   0.0  0.1   0:00.00 sd_cicero
 2057 lightdm   20   0       0      0      0 Z   0.0  0.0   0:00.00 sd_cicero
 2060 lightdm   20   0   97216   1256   1256 S   0.0  0.0   0:00.00 speech-dis+
 2091 naluvjyo  20   0   45248   3796   3572 S   0.0  0.1   0:00.22 systemd
 2093 naluvjyo  20   0  179328   1592      0 S   0.0  0.0   0:00.00 (sd-pam)
 2098 naluvjyo  20   0  279092   2872   2320 S   0.0  0.1   0:00.05 gnome-keyr+
 2100 naluvjyo  20   0   62196   4468   3516 S   0.0  0.1   0:00.24 upstart
 2192 naluvjyo  20   0   32860   1292   1176 S   0.0  0.0   0:00.07 upstart-ud+
 2193 naluvjyo  20   0   59724   3384   2020 S   0.0  0.1   0:02.40 dbus-daemon
 2205 naluvjyo  20   0   86348   4556   4284 S   0.0  0.1   0:00.09 window-sta+
 2231 naluvjyo  20   0   32796   1252   1112 S   0.0  0.0   0:00.26 upstart-db+
 2233 naluvjyo  20   0   32868    900    748 S   0.0  0.0   0:00.56 upstart-db+
 2247 naluvjyo  20   0  420232   8048   3560 S   0.0  0.2   0:06.74 ibus-daemon
 2257 naluvjyo  20   0   41288   1036    924 S   0.0  0.0   0:00.01 upstart-fi+
 2273 naluvjyo  20   0  166540    332    176 S   0.0  0.0   0:00.44 gpg-agent
 2277 naluvjyo  20   0  274520   2704   2352 S   0.0  0.1   0:00.03 gvfsd
 2282 naluvjyo  20   0  406860   2344   2344 S   0.0  0.1   0:00.00 gvfsd-fuse
 2297 naluvjyo  20   0  338004   2924   2924 S   0.0  0.1   0:00.00 at-spi-bus+
 2302 naluvjyo  20   0   58736   2804   2488 S   0.0  0.1   0:00.38 dbus-daemon
 2304 naluvjyo  20   0  206868   1964   1676 S   0.0  0.1   0:01.00 at-spi2-re+
 2308 naluvjyo  20   0  264256   4912   2612 S   0.0  0.1   0:00.01 ibus-dconf
 2309 naluvjyo  20   0  478072  10136   7112 S   0.0  0.3   0:02.00 ibus-ui-gt+
 2313 naluvjyo  20   0  427664   5304   5028 S   0.0  0.1   0:00.06 ibus-x11
 2333 naluvjyo  20   0  928260  14264   7784 S   0.0  0.4   0:00.82 unity-sett+
 2334 naluvjyo  20   0  526264  15028   9488 S   0.0  0.4   0:04.05 bamfdaemon
 2345 naluvjyo  20   0  640592   6336   5052 S   0.0  0.2   0:00.16 gnome-sess+
 2349 naluvjyo  20   0  604636  49748  10128 S   0.0  1.3   0:06.64 unity-pane+
 2355 naluvjyo  20   0  748720  50736  12340 S   0.0  1.3   0:07.33 hud-service
 2381 naluvjyo  20   0  188388   2488   2168 S   0.0  0.1   0:01.70 ibus-engin+
 2389 naluvjyo  20   0  178784   2344   1864 S   0.0  0.1   0:00.05 dconf-serv+
 2396 naluvjyo   9 -11  508796   4792   4144 S   0.0  0.1   0:00.06 pulseaudio
 2423 naluvjyo  20   0  354508   7644   4280 S   0.0  0.2   0:00.19 indicator-+
 2424 naluvjyo  20   0  407124   1692   1692 S   0.0  0.0   0:00.00 indicator-+
 2425 naluvjyo  20   0  568928   2888   2356 S   0.0  0.1   0:00.01 indicator-+
 2426 naluvjyo  20   0 1232948   8260   5244 S   0.0  0.2   0:00.62 indicator-+
 2427 naluvjyo  20   0  657276   9136   4116 S   0.0  0.2   0:00.13 indicator-+
 2428 naluvjyo  20   0  737100   6076   4616 S   0.0  0.2   0:00.18 indicator-+
 2429 naluvjyo  20   0  547216   6064   5420 S   0.0  0.2   0:00.05 indicator-+
 2430 naluvjyo  20   0  952880   5584   4028 S   0.0  0.1   0:00.28 indicator-+
 2466 naluvjyo  20   0  403152   3332   3224 S   0.0  0.1   0:00.02 indicator-+
 2487 naluvjyo  20   0  915204   4168   4168 S   0.0  0.1   0:00.04 evolution-+
 2518 naluvjyo  20   0  429308   3072   2172 S   0.0  0.1   0:00.08 polkit-gno+
 2520 naluvjyo  20   0 1367644  38204   6952 S   0.0  1.0   0:02.52 gnome-soft+
 2524 naluvjyo  20   0  589948   8972   6528 S   0.0  0.2   0:00.15 nm-applet
 2530 naluvjyo  20   0  576852   8144   6512 S   0.0  0.2   0:00.10 unity-fall+
