top - 10:09:19 up 40 min,  1 user,  load average: 1.84, 1.46, 0.79
Tasks: 274 total,   1 running, 271 sleeping,   0 stopped,   2 zombie
%Cpu(s):  3.5 us,  1.3 sy,  0.2 ni, 79.6 id, 15.4 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem :  3916032 total,   679720 free,  1534252 used,  1702060 buff/cache
KiB Swap:  4061180 total,  4061108 free,       72 used.  1811336 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 2795 naluvjyo  20   0  264256   5012   4472 S   0.0  0.1   0:00.00 ibus-dconf
 2796 naluvjyo  20   0  478080  30412  23396 S   0.0  0.8   0:00.25 ibus-ui-gt+
 2800 naluvjyo  20   0  427668  20108  16876 S   0.0  0.5   0:00.03 ibus-x11
 2816 naluvjyo  20   0  523624  26200  20692 S   0.0  0.7   0:00.66 bamfdaemon
 2823 naluvjyo  20   0  188388   4332   3984 S   0.0  0.1   0:00.18 ibus-engin+
 2833 naluvjyo  20   0  714820  33392  24940 S   0.0  0.9   0:00.17 hud-service
 2835 naluvjyo  20   0  928324  34276  23964 S   0.0  0.9   0:00.19 unity-sett+
 2846 naluvjyo  20   0  632024  13816  11652 S   0.0  0.4   0:00.07 gnome-sess+
 2850 naluvjyo  20   0  713112  34312  25224 S   0.0  0.9   0:00.36 unity-pane+
 2887 naluvjyo   9 -11  508796  10276   7192 S   0.0  0.3   0:00.03 pulseaudio
 2892 naluvjyo  20   0  178792   4008   3336 S   0.0  0.1   0:00.02 dconf-serv+
 2902 naluvjyo  20   0  354552   7108   5196 S   0.0  0.2   0:00.01 indicator-+
 2903 naluvjyo  20   0  407124   3264   2872 S   0.0  0.1   0:00.00 indicator-+
 2904 naluvjyo  20   0  568796   8836   4716 S   0.0  0.2   0:00.01 indicator-+
 2905 naluvjyo  20   0 1232928  15180  10624 S   0.0  0.4   0:00.06 indicator-+
 2906 naluvjyo  20   0  722824  23492  18484 S   0.0  0.6   0:00.06 indicator-+
 2908 naluvjyo  20   0  737008  10112   7680 S   0.0  0.3   0:00.02 indicator-+
 2909 naluvjyo  20   0  547136  22540  18880 S   0.0  0.6   0:00.07 indicator-+
 2910 naluvjyo  20   0  952880   8072   4524 S   0.0  0.2   0:00.01 indicator-+
 2961 naluvjyo  20   0  628476  18744  15048 S   0.0  0.5   0:00.04 evolution-+
 2962 naluvjyo  20   0  476884  12144  10652 S   0.0  0.3   0:00.03 indicator-+
 2986 naluvjyo  20   0 1562784 107324  55572 S   0.0  2.7   0:12.48 compiz
 3006 naluvjyo  20   0  758588  22804  15880 S   0.0  0.6   0:00.04 goa-daemon
 3007 naluvjyo  20   0  429304  21100  15876 S   0.0  0.5   0:00.03 polkit-gno+
 3009 naluvjyo  20   0 1367644 109416  25572 S   0.0  2.8   0:02.07 gnome-soft+
 3013 naluvjyo  20   0  589968  30348  25204 S   0.0  0.8   0:00.07 nm-applet
 3014 naluvjyo  20   0 1506244  49900  35116 S   0.0  1.3   0:00.62 nautilus
 3018 naluvjyo  20   0  576804  18680  15500 S   0.0  0.5   0:00.04 unity-fall+
 3034 naluvjyo  20   0  285312   6128   5056 S   0.0  0.2   0:00.05 gvfs-udisk+
 3040 root      20   0  366760   8996   5192 S   0.0  0.2   0:00.39 udisksd
 3052 naluvjyo  20   0  403608   8124   7100 S   0.0  0.2   0:00.00 gvfs-afc-v+
 3058 naluvjyo  20   0  259632   4084   3496 S   0.0  0.1   0:00.00 gvfs-mtp-v+
 3063 naluvjyo  20   0  271832   4408   3740 S   0.0  0.1   0:00.00 gvfs-gphot+
 3068 naluvjyo  20   0  257656   4220   3696 S   0.0  0.1   0:00.00 gvfs-goa-v+
 3073 naluvjyo  20   0  862976  57472  17444 S   0.0  1.5   0:00.10 evolution-+
 3075 root      20   0  628676  32856   7488 S   0.0  0.8   0:00.48 fwupd
 3085 naluvjyo  20   0  356848   4964   4280 S   0.0  0.1   0:00.01 goa-identi+
 3090 naluvjyo  20   0  376176   8908   5656 S   0.0  0.2   0:00.02 mission-co+
 3108 naluvjyo  20   0  348152   6284   3700 S   0.0  0.2   0:00.00 gvfsd-burn
 3116 naluvjyo  20   0  350564   5592   4820 S   0.0  0.1   0:00.00 gvfsd-trash
 3139 naluvjyo  20   0  187384   5684   3984 S   0.0  0.1   0:00.02 gvfsd-meta+
 3146 naluvjyo  20   0  552384  22792  19240 S   0.0  0.6   0:00.02 telepathy-+
 3160 naluvjyo  20   0  807800  47900   9460 S   0.0  1.2   0:00.05 evolution-+
 3171 naluvjyo  20   0  690568  14296  11672 S   0.0  0.4   0:00.02 evolution-+
 3172 naluvjyo  20   0 1062392  47656   9096 S   0.0  1.2   0:00.05 evolution-+
 3187 naluvjyo  20   0  905336  18084  11384 S   0.0  0.5   0:00.02 evolution-+
 3219 naluvjyo  20   0  502572  17588  12620 S   0.0  0.4   0:00.13 zeitgeist-+
 3225 naluvjyo  20   0   12528   2980   2768 S   0.0  0.1   0:00.00 sh
 3229 naluvjyo  20   0  410336   9340   6040 S   0.0  0.2   0:00.03 zeitgeist-+
 3237 naluvjyo  20   0  312796  16204  11484 S   0.0  0.4   0:00.08 zeitgeist-+
 3292 naluvjyo  20   0  583320  30724  25644 S   0.0  0.8   0:00.17 update-not+
 3739 naluvjyo  20   0  435448   5448   4876 S   0.0  0.1   0:00.01 deja-dup-m+
 3951 root      20   0  274832   8540   7224 S   0.0  0.2   0:00.01 cups-brows+
 4326 root      20   0       0      0      0 S   0.0  0.0   0:00.22 kworker/0:0
 4332 root      20   0       0      0      0 S   0.0  0.0   0:00.63 kworker/u4+
 4387 naluvjyo  20   0   61300   4512   4064 S   0.0  0.1   0:00.00 gconfd-2
 4446 root      20   0       0      0      0 S   0.0  0.0   0:00.20 kworker/1:1
 4565 naluvjyo  20   0  645188  17260  12980 S   0.0  0.4   0:00.06 unity-scop+
 4577 naluvjyo  20   0  426192  13304  11368 S   0.0  0.3   0:00.03 unity-file+
 4578 naluvjyo  20   0  586580  26636  15948 S   0.0  0.7   0:00.30 unity-scop+
 4596 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/0:1
 4628 naluvjyo  20   0  661344  41540  30372 S   0.0  1.1   0:00.28 gedit
 4668 naluvjyo  20   0  665400  36980  29232 S   0.0  0.9   0:00.70 gnome-term+
 4675 naluvjyo  20   0   23332   6116   3476 S   0.0  0.2   0:00.10 bash
 4727 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/1:0
 4770 root      20   0   91276   5856   4824 S   0.0  0.1   0:00.01 sudo
 4773 root      20   0   73280  30404   7424 S   0.0  0.8   0:00.20 python
 4776 root      20   0  368352  52648  12840 S   0.0  1.3   0:03.96 python
 4950 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/0:2
 5354 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u4+
 5355 root      20   0       0      0      0 S   0.0  0.0   0:00.11 kworker/u4+
 5779 root      20   0   93268   7604   6468 S   0.0  0.2   0:00.00 cupsd
 5781 lp        20   0   81244   5832   5060 S   0.0  0.1   0:00.00 dbus
 5782 lp        20   0   81244   5688   4916 S   0.0  0.1   0:00.00 dbus
 7805 root      20   0       0      0      0 Z   0.0  0.0   0:00.00 adp.sh
 7817 root      20   0    7292    648    576 S   0.0  0.0   0:00.00 sleep
 7818 root      20   0    7292    664    588 S   0.0  0.0   0:00.00 sleep
 7819 root      20   0    7292    668    596 S   0.0  0.0   0:00.00 sleep
 7820 root      20   0    7292    652    576 S   0.0  0.0   0:00.00 sleep
 7821 root      20   0    7292    676    600 S   0.0  0.0   0:00.00 sleep
 7822 root      20   0    7292    676    604 S   0.0  0.0   0:00.00 sleep
 7823 root      20   0    7292    664    588 S   0.0  0.0   0:00.00 sleep
 7824 root      20   0    7292    820    744 S   0.0  0.0   0:00.00 sleep
 7825 root      20   0    7292    820    744 S   0.0  0.0   0:00.00 sleep
 7826 root      20   0    7292    656    580 S   0.0  0.0   0:00.00 sleep
 7827 root      20   0    7292    656    584 S   0.0  0.0   0:00.00 sleep
 7828 root      20   0    7292    652    580 S   0.0  0.0   0:00.00 sleep
 7829 root      20   0    7292    676    604 S   0.0  0.0   0:00.00 sleep
 7830 root      20   0    7292    664    588 S   0.0  0.0   0:00.00 sleep
 7831 root      20   0    7292    656    580 S   0.0  0.0   0:00.00 sleep
 7832 root      20   0    7292    664    588 S   0.0  0.0   0:00.00 sleep
 7833 root      20   0   41800   3784   3164 R   0.0  0.1   0:00.00 top
 7834 root      20   0    7292    668    592 S   0.0  0.0   0:00.00 sleep
 7835 root      20   0    7292    660    584 S   0.0  0.0   0:00.00 sleep
 7837 root      20   0    7292    656    584 S   0.0  0.0   0:00.00 sleep
 7838 root      20   0    7292    820    744 S   0.0  0.0   0:00.00 sleep
 7839 root      20   0    7292    660    584 S   0.0  0.0   0:00.00 sleep
 7840 root      20   0    7292    680    604 S   0.0  0.0   0:00.00 sleep
 7841 root      20   0    7292    648    576 S   0.0  0.0   0:00.00 sleep
 7842 root      20   0    7292    688    612 S   0.0  0.0   0:00.00 sleep
 7843 root      20   0    7292    708    632 S   0.0  0.0   0:00.00 sleep
 7844 root      20   0    7292    660    588 S   0.0  0.0   0:00.00 sleep
 7845 root      20   0    7292    760    688 S   0.0  0.0   0:00.00 sleep
 7846 root      20   0    7292    672    600 S   0.0  0.0   0:00.00 sleep
 7847 root      20   0    7292    664    592 S   0.0  0.0   0:00.00 sleep
 7848 root      20   0    7292    656    580 S   0.0  0.0   0:00.00 sleep
 7854 root      20   0    7292    688    612 S   0.0  0.0   0:00.00 sleep
 7855 root      20   0    7292    684    612 S   0.0  0.0   0:00.00 sleep
 7856 root      20   0    7292    672    600 S   0.0  0.0   0:00.00 sleep
 7857 root      20   0    7292    756    680 S   0.0  0.0   0:00.00 sleep
 7858 root      20   0    7292    680    608 S   0.0  0.0   0:00.00 sleep
 7859 root      20   0    7292    820    744 S   0.0  0.0   0:00.00 sleep
 7860 root      20   0    7292    672    600 S   0.0  0.0   0:00.00 sleep
 7861 root      20   0    7292    684    608 S   0.0  0.0   0:00.00 sleep
 7862 root      20   0    7292    820    744 S   0.0  0.0   0:00.00 sleep
 7863 root      20   0    7292    752    680 S   0.0  0.0   0:00.00 sleep
 7868 root      20   0    7292    656    584 S   0.0  0.0   0:00.00 sleep
 7869 root      20   0    7292    752    680 S   0.0  0.0   0:00.00 sleep
 7870 root      20   0    7292    652    580 S   0.0  0.0   0:00.00 sleep
 7871 root      20   0    7292    652    580 S   0.0  0.0   0:00.00 sleep
 7872 root      20   0    7292    664    588 S   0.0  0.0   0:00.00 sleep
 7873 root      20   0    7292    808    736 S   0.0  0.0   0:00.00 sleep
 7874 root      20   0    7292    680    608 S   0.0  0.0   0:00.00 sleep
 7875 root      20   0    7292    756    680 S   0.0  0.0   0:00.00 sleep
 7876 root      20   0    7292    660    588 S   0.0  0.0   0:00.00 sleep
 7877 root      20   0    7292    752    680 S   0.0  0.0   0:00.00 sleep

top - 10:09:29 up 40 min,  1 user,  load average: 1.56, 1.41, 0.78
Tasks: 224 total,   1 running, 221 sleeping,   0 stopped,   2 zombie
%Cpu(s):  3.8 us,  1.7 sy,  0.0 ni, 94.0 id,  0.5 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem :  3916032 total,   687260 free,  1527432 used,  1701340 buff/cache
KiB Swap:  4061180 total,  4061108 free,       72 used.  1819164 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 4356 naluvjyo  20   0 2812280 712956 120460 S   4.8 18.2   2:12.27 firefox
 1030 root      20   0  380148  62672  50696 S   1.4  1.6   0:15.62 Xorg
 4776 root      20   0  368352  52648  12840 S   1.2  1.3   0:04.08 python
 2986 naluvjyo  20   0 1562752 107332  55580 S   0.8  2.7   0:12.56 compiz
    7 root      20   0       0      0      0 S   0.1  0.0   0:01.43 rcu_sched
  835 avahi     20   0   60636   4492   3844 S   0.1  0.1   0:00.36 avahi-daem+
 1252 root      20   0  633476  47528  28392 S   0.1  1.2   0:02.74 dockerd
 2582 naluvjyo  20   0   62316   5932   4396 S   0.1  0.2   0:00.15 upstart
 4326 root      20   0       0      0      0 S   0.1  0.0   0:00.23 kworker/0:0
 4446 root      20   0       0      0      0 S   0.1  0.0   0:00.21 kworker/1:1
    1 root      20   0  119864   6092   4048 S   0.0  0.2   0:01.23 systemd
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kthreadd
    3 root      20   0       0      0      0 S   0.0  0.0   0:00.03 ksoftirqd/0
    5 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/0:+
    8 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_bh
    9 root      rt   0       0      0      0 S   0.0  0.0   0:00.00 migration/0
   10 root      rt   0       0      0      0 S   0.0  0.0   0:00.01 watchdog/0
   11 root      rt   0       0      0      0 S   0.0  0.0   0:00.00 watchdog/1
   12 root      rt   0       0      0      0 S   0.0  0.0   0:00.00 migration/1
   13 root      20   0       0      0      0 S   0.0  0.0   0:00.05 ksoftirqd/1
   15 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1:+
   16 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kdevtmpfs
   17 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 netns
   18 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 perf
   19 root      20   0       0      0      0 S   0.0  0.0   0:00.00 khungtaskd
   20 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 writeback
   21 root      25   5       0      0      0 S   0.0  0.0   0:00.00 ksmd
   22 root      39  19       0      0      0 S   0.0  0.0   0:00.27 khugepaged
   23 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 crypto
   24 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kintegrityd
   25 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   26 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kblockd
   27 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ata_sff
   28 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 md
