top - 16:49:05 up 20:24,  1 user,  load average: 0.33, 2.20, 4.30
Tasks: 231 total,   2 running, 227 sleeping,   0 stopped,   2 zombie
%Cpu(s): 13.9 us, 16.7 sy,  0.0 ni, 68.9 id,  0.4 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem :  3916032 total,   711884 free,  2043596 used,  1160552 buff/cache
KiB Swap:  4061180 total,  4015580 free,    45600 used.  1280060 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 1272 postgres  20   0  291192   3000   1292 S   0.0  0.1   0:00.39 postgres
 1273 postgres  20   0  291904   4556   2284 S   0.0  0.1   0:00.25 postgres
 1274 postgres  20   0  146868   2324    616 S   0.0  0.1   0:00.28 postgres
 1282 lightdm   20   0   45248   4536   3840 S   0.0  0.1   0:00.13 systemd
 1283 lightdm   20   0   97544   2240      0 S   0.0  0.1   0:00.00 (sd-pam)
 1327 root      20   0  293872  49788  12784 S   0.0  1.3   0:00.44 python
 1337 root      20   0  240004   5840   4024 S   0.0  0.1   0:03.34 nmbd
 1362 root      20   0  353636  14496  11632 S   0.0  0.4   0:00.12 smbd
 1367 root      20   0       0      0      0 Z   0.0  0.0   0:00.00 sh
 1370 root      20   0  329808   5576   3160 S   0.0  0.1   0:00.00 smbd
 1377 root      20   0  353644  12728   9816 S   0.0  0.3   0:00.22 smbd
 1381 root      20   0   41800   3704   3096 R   0.0  0.1   0:00.00 top
 1438 root      20   0  261576   8044   6784 S   0.0  0.2   0:00.02 lightdm
 1494 lightdm    9 -11  555592  13676   8936 S   0.0  0.3  57:40.60 pulseaudio
 1495 rtkit     21   1  183544   2920   2636 S   0.0  0.1   0:00.50 rtkit-daem+
 1499 root      20   0  347196  10844   7432 S   0.0  0.3   0:00.05 upowerd
 1550 colord    20   0  301240   9760   7124 S   0.0  0.2   0:00.08 colord
 1592 lightdm   20   0  289004   4132   3500 S   0.0  0.1   0:04.21 sd_dummy
 1595 lightdm   20   0  289016   4036   3404 S   0.0  0.1   0:04.21 sd_generic
 1598 lightdm   20   0  523936   7556   5856 S   0.0  0.2   0:04.62 sd_espeak
 1618 lightdm   20   0  289004   4092   3468 S   0.0  0.1   0:04.18 sd_cicero
 1619 lightdm   20   0       0      0      0 Z   0.0  0.0   0:00.00 sd_cicero
 1622 lightdm   20   0   97216   2028   1776 S   0.0  0.1   0:00.00 speech-dis+
 4325 root      20   0  277020   9760   8376 S   0.0  0.2   0:00.08 cups-brows+
 4895 naluvjyo  20   0   45248   4664   3964 S   0.0  0.1   0:00.14 systemd
 4897 naluvjyo  20   0  179472   2368      0 S   0.0  0.1   0:00.00 (sd-pam)
 4902 naluvjyo  20   0  205240   7904   5328 S   0.0  0.2   0:00.07 gnome-keyr+
 4904 naluvjyo  20   0   62200   5444   3928 S   0.0  0.1   0:00.23 upstart
 4988 naluvjyo  20   0   32860   2036   1700 S   0.0  0.1   0:00.05 upstart-ud+
 4997 naluvjyo  20   0   59840   4732   2716 S   0.0  0.1   0:03.49 dbus-daemon
 5009 naluvjyo  20   0   86348   7208   6500 S   0.0  0.2   0:00.10 window-sta+
 5061 naluvjyo  20   0   32796    332      0 S   0.0  0.0   0:00.20 upstart-db+
 5063 naluvjyo  20   0  347956   9748   5412 S   0.0  0.2   0:07.03 ibus-daemon
 5065 naluvjyo  20   0   32896   1632   1232 S   0.0  0.0   0:00.72 upstart-db+
 5074 naluvjyo  20   0   41416   1752   1312 S   0.0  0.0   0:00.00 upstart-fi+
 5085 naluvjyo  20   0  274524   5660   5132 S   0.0  0.1   0:00.04 gvfsd
 5090 naluvjyo  20   0  406860   5080   4552 S   0.0  0.1   0:00.00 gvfsd-fuse
 5105 naluvjyo  20   0  264256   5816   5264 S   0.0  0.1   0:00.00 ibus-dconf
 5106 naluvjyo  20   0  478108  29404  24548 S   0.0  0.8   0:01.94 ibus-ui-gt+
 5110 naluvjyo  20   0  427760  20032  16836 S   0.0  0.5   0:00.05 ibus-x11
 5135 naluvjyo  20   0  166540    328     92 S   0.0  0.0   0:00.31 gpg-agent
 5136 naluvjyo  20   0  188388   4876   4684 S   0.0  0.1   0:01.70 ibus-engin+
 5147 naluvjyo  20   0  526024  32272  23852 S   0.0  0.8   0:08.18 bamfdaemon
 5161 naluvjyo  20   0  730604  47184  23456 S   0.0  1.2   0:08.05 hud-service
 5163 naluvjyo  20   0  928308  30264  22228 S   0.0  0.8   0:00.66 unity-sett+
 5167 naluvjyo  20   0  338004   5640   5156 S   0.0  0.1   0:00.00 at-spi-bus+
 5168 naluvjyo  20   0  714316  17204  12928 S   0.0  0.4   0:00.14 gnome-sess+
 5178 naluvjyo  20   0   58608   5080   4336 S   0.0  0.1   0:00.37 dbus-daemon
 5179 naluvjyo  20   0  591744  52444  26128 S   0.0  1.3   0:06.64 unity-pane+
 5186 naluvjyo  20   0  206860   5268   4752 S   0.0  0.1   0:00.91 at-spi2-re+
 5213 naluvjyo   9 -11  508796   7444   4844 S   0.0  0.2   0:00.06 pulseaudio
 5219 naluvjyo  20   0  178780   5060   4392 S   0.0  0.1   0:00.10 dconf-serv+
 5226 naluvjyo  20   0  354552   6204   5356 S   0.0  0.2   0:00.09 indicator-+
 5227 naluvjyo  20   0  407124   5888   3424 S   0.0  0.2   0:00.00 indicator-+
 5228 naluvjyo  20   0  568796   9252   4960 S   0.0  0.2   0:00.01 indicator-+
 5229 naluvjyo  20   0 1232924  13812   9360 S   0.0  0.4   0:00.29 indicator-+
 5238 naluvjyo  20   0  788368  25680  20744 S   0.0  0.7   0:00.14 indicator-+
 5239 naluvjyo  20   0  737004  10940   7276 S   0.0  0.3   0:00.08 indicator-+
 5241 naluvjyo  20   0  547184  22852  19564 S   0.0  0.6   0:00.07 indicator-+
 5242 naluvjyo  20   0  952880   6232   5224 S   0.0  0.2   0:00.15 indicator-+
 5275 naluvjyo  20   0 1177352  21104  15288 S   0.0  0.5   0:00.05 evolution-+
 5294 naluvjyo  20   0  403152  14744  11292 S   0.0  0.4   0:01.43 indicator-+
 5313 naluvjyo  20   0  758588  21572  14640 S   0.0  0.6   0:00.08 goa-daemon
 5328 naluvjyo  20   0  429308  19156  15984 S   0.0  0.5   0:00.07 polkit-gno+
 5330 naluvjyo  20   0 1367408 104004  24936 S   0.0  2.7   0:02.24 gnome-soft+
 5334 naluvjyo  20   0  671788  34148  27012 S   0.0  0.9   0:01.33 nm-applet
 5335 naluvjyo  20   0 1534936  64268  37888 S   0.0  1.6   0:25.36 nautilus
 5340 naluvjyo  20   0  576804  20488  17260 S   0.0  0.5   0:00.14 unity-fall+
 5343 naluvjyo  20   0  862976  54248  16284 S   0.0  1.4   0:00.11 evolution-+
 5367 naluvjyo  20   0  285436   8860   5740 S   0.0  0.2   0:00.33 gvfs-udisk+
 5371 naluvjyo  20   0  356848   6000   5232 S   0.0  0.2   0:00.03 goa-identi+
 5378 root      20   0  432180   7728   5916 S   0.0  0.2   0:02.32 udisksd
